Какое животное имеет 3 глаза?;Туатара
Какое живое существо может спать, не просыпаясь 3 года?;Улитка
Какое животное может переварить стальной гвоздь?;Крокодил
У какого животного на Земле самый крупный глаз?;Кальмар
Какое животное одновременно дает молоко и откладывает яйца?;Утконос
Какая птичка является самой маленькой?;Колибри
Маэстро Титаренко отстранил его от полетов, а он при налете немцев без команды взлетел на самолете комэска и сбил мессер.;Кузнечик
Что на Руси приспосабливали к шесту, чтобы сделать огородное пугало?;Лапоть
В какой стране мира наибольшее число людей, пользующихся мобильными телефонами?;Китай
Что использовали в Китае для глажки белья вместо утюга?;Сковорода
По традиции в Китае муж может в одностороннем порядке объявить о расторжении брака по семейным обстоятельствам. Назовите одну из причин для этого.;Болтливость
В 1931 году Аркадий Райкин сам придумал и произнес со сцены некое слово. Оно стремительно вошло в обиход — так стали называть несуразную легкую сумку.;Авоська
Первый подобный музей появился в Париже до 1975 года. Экскурсии по нему проводились на лодке. Сейчас туристы осматривают его экспонаты со специальных решеток и пандусов. О каком музее идет речь?;Канализация
Герцогиня Англии XVIII века Сара Черчилль говорила: «Вы молоды, если вы еще способны…»;Разочаровываться
Пельмени издавна заготавливают в форме ушек. Что символизируют такие пельмени?;Послушание
Если скорость ветра тропического шторма превышает 60 км/ч, ему присваивают личное имя. Во времена Второй мировой войны американские синоптики начали давать ураганам имена кого?;Тёща
В словаре Владимира Ивановича Даля встречается старинное название барометра. В честь какой птицы он так назван?;Буревестник
Чтобы отпугнуть врагов, гуси могут грозно шипеть и больно щипаться. В Шотландии решили использовать эту особенность птиц и создали отряд гусей, который стал охранять завод. Какой?;Алкогольный
Ювелиры часто говорят, что бриллиантам необходимо это.;Одиночество
Английский писатель Киплинг говорил: «Женская интуиция намного точнее, чем мужская…»;Уверенность
Какого слова нет в языке народов Арктики?;Война
Соседи по улице знали Дмитрия Ивановича Менделеева как замечательного мастера по изготовлению чего?;Чемодан
Вопрос. Исследователями Гарвардского университета было установлено, что употребление мороженого в больших количествах уменьшает риск этого.;Бесплодие
Чтобы сделать комплимент женщине в Индии, нужно сравнить ее с коровой и слоном. Причем с коровой она должна быть схожа глазами, а со слоном — этим.;Походка
В XIV–XVI веках его носили мужчины. С XVII века его стали носить женщины. Названий было много: шторник, пестряк, клинник, наколоточник и др. До нас дошло лишь одно название. Какое?;Сарафан
Во время второй мировой войны этот предмет являлся символом единства у Норвежцев. В честь него даже построили памятник.;Скрепка
Так в старину называли сторожа городских ворот.;Вратарь
Как называется железная дорога с канатной тягой, устраиваемая на крутых подъемах?;Фуникулер
Анисовая настойка или ликер;Абсент
Что мексиканцы изготовляли из волокнистой древесины кактусов?;Воротник
Какое животное дало название распространенному в Древнем Риме способу боевого построения?;Черепаха
Цитрусовое дерево с ароматными цветками.;Бергамот
Название этого растения произошло от греческого «порождающий чистоту».;Баклажан
Эта птица может летать спиной вперед.;Колибри
Бедный, неказистый домишко, избенка.;Хибара
В метро этого города для того, чтобы играть в переходах, нужно еще получить специальную лицензию.;Торонто
Овощ, чьи полезные вещества используют для борьбы с подагрой.;Кабачок
